Trading Date,Quantity (MWh)
2023-01-01,4109
2023-01-02,3836
2023-01-03,3893
2023-01-04,3900
2023-01-05,4162
2023-01-06,3874
2023-01-07,3727
2023-01-08,3716
2023-01-09,3885
2023-01-10,3695
2023-01-11,3684
2023-01-12,3877
2023-01-13,3824
2023-01-14,3648
2023-01-15,3987
2023-01-16,3716
2023-01-17,3809
2023-01-18,3871
2023-01-19,3823
2023-01-20,4002
2023-01-21,3975
2023-01-22,3947
2023-01-23,3944
2023-01-24,3813
2023-01-25,3647
2023-01-26,3795
2023-01-27,3914
2023-01-28,4097
2023-01-29,4032
2023-01-30,4110
2023-01-31,3913
